Tm,PPR
CHI,22.2
GNB,14.8
NYG,13.6
NYG,30.4
BAL,11.7
CLE,14.0
ARI,14.0
HOU,9.7
NOR,14.7
DAL,12.7
NYG,20.3
JAX,14.5
NYJ,16.3
NYJ,11.5
KAN,19.4
CHI,12.9
BUF,10.6
ARI,19.4
LAR,12.8
JAX,19.3
HOU,10.3
GNB,12.1
GNB,15.8
DAL,15.0
CIN,14.9
KAN,11.6
NYG,11.6
SFO,9.9
GNB,14.5
LAC,7.9
NYG,13.0
LAR,8.8
CHI,11.1
ARI,7.5
BAL,8.1
DAL,12.4
LVR,9.7
TAM,10.8
KAN,5.9
TAM,10.0
TAM,7.2
IND,16.6
CHI,11.2
CAR,10.6
PIT,13.1
CIN,14.6
ARI,7.5
LVR,4.9
NWE,9.9
KAN,11.3
LAR,4.8
CAR,5.5
DEN,6.7
PHI,7.9
JAX,6.8
PHI,8.2
BUF,4.0
DAL,7.8
PHI,4.8
PHI,8.8
TAM,6.4
CHI,5.8
LAC,9.3
DEN,5.5
BAL,7.3
WAS,2.6
MIN,10.2
MIA,8.8
MIN,4.9
DET,4.8
MIN,5.9
HOU,5.3
DAL,3.3
HOU,5.6
ATL,6.3
TAM,5.2
TEN,3.1
SFO,6.2
NYJ,4.8
DEN,6.2
NWE,3.9
PIT,4.7
SEA,8.2
SFO,2.1
LAC,3.9
LAR,1.9
MIA,2.2
IND,3.2
MIN,2.1
DET,6.5
DET,3.1
DEN,3.6
MIN,3.2
2TM,3.0
ARI,5.9
BAL,2.6
TEN,3.1
MIA,2.1
WAS,4.3
GNB,1.3
NYG,4.3
2TM,3.1
SFO,2.2
SEA,0.5
CIN,2.1
ATL,1.9
ATL,2.2
LVR,1.6
IND,1.7
CHI,2.1
LVR,2.2
TEN,1.6
CIN,0.8
PIT,3.1
MIN,1.3
DET,2.3
TEN,1.6
2TM,4.2
SFO,3.4
NYJ,3.3
SEA,2.0
LAR,4.9
TEN,1.1
JAX,-0.3
DET,-0.2
TEN,1.3
BUF,1.3
DET,1.2
LVR,1.4
CIN,1.2
CHI,-0.4
NOR,2.4
CAR,1.2
GNB,1.0
TAM,-0.1
LAC,1.3
WAS,-0.2
ATL,-0.3
BUF,-1.3
3TM,4.0
TAM,1.0
CLE,-2.0
CHI,-2.2
