Player,Tm,FantPos,PPR,-9999
Cade Otton,TAM,TE,6.85,OttoCa00
Dameon Pierce,HOU,RB,5.91,PierDa01
Noah Brown,HOU,WR,10.2,BrowNo00
Josh Palmer,LAC,WR,10.7,PalmJo00
Bailey Zappe,NWE,QB,6.92,ZappBa00
Roschon Johnson,CHI,RB,6.81,JohnRo07
Easton Stick,LAC,QB,13.5,SticEa00
Kenneth Gainwell,PHI,RB,6.09,GainKe00
Nick Mullens,MIN,QB,13.3,MullNi00
Taylor Heinicke,ATL,QB,13.2,HeinTa00
Latavius Murray,BUF,RB,5.18,MurrLa00
Rondale Moore,ARI,WR,6.18,MoorRo02
Jimmy Garoppolo,LVR,QB,9.16,GaroJi00
Kendrick Bourne,NWE,WR,12.5,BourKe00
Alec Pierce,IND,WR,5.61,PierAl00
Nelson Agholor,BAL,WR,5.71,AghoNe00
Tyler Conklin,NYJ,TE,7.24,ConkTy00
Tyler Higbee,LAR,TE,7.23,HigbTy00
Kalif Raymond,DET,WR,5.73,RaymKa00
Justin Watson,KAN,WR,5.56,WatsJu01
Juwan Johnson,NOR,TE,7.52,JohnJu02
Keaton Mitchell,BAL,RB,8.74,MitcKe01
Demarcus Robinson,LAR,WR,5.46,RobiDe01
Miles Sanders,CAR,RB,5.47,SandMi01
Darren Waller,NYG,TE,9.43,WallDa01
Gerald Everett,LAC,TE,7.41,EverGe00
Jerick McKinnon,KAN,RB,7.03,McKiJe00
Chigoziem Okonkwo,TEN,TE,6.67,OkonCh00
Zamir White,LVR,RB,4.35,WhitZa01
Demario Douglas,NWE,WR,7.66,DougDe00
Daniel Jones,NYG,QB,9.50,JoneDa05
Trey Palmer,TAM,WR,5.63,PalmTr00
Nick Westbrook-Ikhine,TEN,WR,6.07,WestNi00
Quentin Johnston,LAC,WR,5.53,JohnQu02
Jameson Williams,DET,WR,6.69,WillJa11
Michael Gallup,DAL,WR,5.16,GallMi00
Brandon Johnson,DEN,WR,5.65,JohnBr23
Joshua Kelley,LAC,RB,3.63,KellJo01
Tyson Bagent,CHI,QB,10.7,BageTy00
Clyde Edwards-Helaire,KAN,RB,4.67,EdwaCl00
Donald Parham,LAC,TE,5.68,ParhDo00
Tre Tucker,LVR,WR,4.49,TuckTr00
Emari Demercado,ARI,RB,5.24,DemeEm00
Michael Thomas,NOR,WR,8.98,ThomMi05
Marvin Mims*,DEN,WR,4.42,MimsMa00
A.T. Perry,NOR,WR,6.06,PerrAT00
Mitchell Trubisky,PIT,QB,9.74,TrubMi00
Robert Woods,HOU,WR,6.38,WoodRo02
Tucker Kraft,GNB,TE,4.62,KrafTu00
Darnell Mooney,CHI,WR,5.26,MoonDa00
KaVontae Turpin,DAL,WR,3.73,TurpKa00
Cedrick Wilson Jr.,MIA,WR,4.64,WilsCe01
Chris Moore,TEN,WR,4.02,MoorCh00
Rashod Bateman,BAL,WR,4.78,BateRa00
Royce Freeman,LAR,RB,3.30,FreeRo00
Pat Freiermuth,PIT,TE,6.40,FreiPa00
Zay Jones,JAX,WR,8.68,JoneZa00
Michael Mayer,LVR,TE,5.10,MayeMi00
