FantPos,Age,G,GS,PPR
WR,28,16,5,62.6
WR,28,17,2,67.1
RB,25,17,1,42.8
TE,26,17,12,60.4
WR,22,17,7,60.3
WR,28,14,12,60.1
TE,24,17,1,61.7
TE,28,16,14,71.6
WR,24,17,6,58.8
TE,23,16,8,60.4
RB,24,7,1,46.7
TE,30,17,7,49.1
WR,24,17,1,52.7
TE,28,17,10,65.4
WR,24,16,1,50.6
RB,23,13,0,37.9
WR,29,16,10,56.5
WR,23,15,3,48.7
RB,24,15,0,58.8
RB,26,4,4,43.5
WR,25,17,8,47.2
TE,23,14,6,50.9
WR,26,13,2,51.5
TE,27,12,11,54.6
RB,21,8,0,43.3
WR,23,14,8,53.7
WR,27,11,7,61.0
WR,28,16,1,57.9
TE,26,17,14,53.3
WR,29,3,3,50.2
RB,28,17,4,46.9
WR,24,5,1,45.9
WR,31,8,3,45.2
QB,27,4,2,29.1
FB,27,15,12,38.8
TE,37,13,2,33.9
WR,26,17,0,39.1
RB,32,14,0,36.9
WR,30,17,17,62.0
TE,27,17,10,50.3
WR,26,17,1,38.4
RB,25,8,0,42.9
TE,25,12,9,35.7
QB,32,5,3,27.0
QB,27,3,2,26.6
RB,28,10,0,41.3
WR,28,11,1,40.3
TE,23,17,13,50.5
RB,27,13,0,39.7
QB,25,5,1,25.6
WR,24,13,2,53.0
QB,31,2,1,26.1
WR,23,17,0,30.8
TE,29,17,11,37.8
TE,25,17,9,37.9
RB,28,15,1,40.2
TE,33,7,7,51.7
WR,26,16,1,40.0
WR,30,13,3,43.1
RB,27,17,0,34.8
RB,26,10,0,32.4
WR,34,11,4,36.4
RB,26,7,1,32.2
FB,32,17,16,38.5
TE,26,15,10,46.3
RB,27,17,0,29.6
WR,24,17,0,32.5
WR,23,11,9,39.9
QB,36,3,1,23.6
TE,30,9,8,42.4
WR,28,17,3,48.5
QB,31,3,0,22.9
WR,24,17,1,35.0
QB,26,10,1,23.4
TE,27,16,14,40.2
RB,25,7,0,30.0
WR,28,17,4,37.2
TE,29,17,9,48.4
TE,29,17,0,40.2
WR,23,14,3,44.2
WR,21,9,1,39.2
RB,30,17,0,41.0
RB,22,17,0,22.8
TE,23,11,2,36.3
WR,24,11,1,28.5
TE,25,16,3,32.5
QB,24,8,3,22.1
QB,30,7,1,21.5
WR,23,17,2,35.7
WR,27,17,9,41.3
TE,24,12,2,38.7
WR,30,17,0,35.9
QB,28,6,2,20.0
WR,25,9,5,35.2
WR,30,9,0,22.6
RB,28,2,2,23.1
WR,23,13,1,33.5
TE,25,17,0,26.5
WR,22,17,4,35.9
RB,25,11,0,30.0
WR,29,10,1,27.1
RB,23,4,0,21.3
QB,25,6,0,17.8
WR,24,17,1,34.9
RB,30,4,0,19.7
RB,26,6,0,19.0
TE,24,17,7,39.7
WR,27,12,1,28.5
TE,31,17,8,26.0
RB,24,14,0,20.3
TE,22,15,1,25.5
TE,26,17,8,28.5
TE,25,7,2,23.5
WR,23,16,0,32.2
WR,24,15,6,28.5
WR,24,9,0,31.1
TE,25,12,6,33.5
TE,26,17,4,34.1
WR,26,8,3,24.9
TE,24,15,3,21.7
WR,28,7,0,20.4
RB,24,9,1,20.1
TE,23,15,6,31.1
WR,27,17,1,25.6
TE,24,11,3,24.4
TE,25,14,4,28.1
WR,25,12,2,21.7
QB,30,1,1,13.9
WR,23,16,0,21.9
WR,25,11,0,20.7
WR,23,9,4,32.9
WR,30,17,1,28.1
WR,26,17,0,21.5
WR,23,9,3,27.2
TE,31,17,4,28.2
RB,22,9,0,19.0
TE,27,11,0,24.5
WR,26,15,3,22.5
WR,24,7,5,16.6
WR,33,11,1,16.9
RB,23,6,1,18.1
FB,27,17,13,24.9
QB,30,3,0,11.8
